symbol,security_id,exchange,segment,instrument
PERSISTENT OCT FUT,52493,NSE,D,FUTSTK
PETRONET OCT FUT,52494,NSE,D,FUTSTK
PFC OCT FUT,52495,NSE,D,FUTSTK
PGEL OCT FUT,52496,NSE,D,FUTSTK
PHOENIXLTD OCT FUT,52497,NSE,D,FUTSTK
PIDILITIND OCT FUT,52498,NSE,D,FUTSTK
PIIND OCT FUT,52499,NSE,D,FUTSTK
PNB OCT FUT,52500,NSE,D,FUTSTK
PNBHOUSING OCT FUT,52501,NSE,D,FUTSTK
POLICYBZR OCT FUT,52502,NSE,D,FUTSTK
POLYCAB OCT FUT,52503,NSE,D,FUTSTK
POWERGRID OCT FUT,52504,NSE,D,FUTSTK
PPLPHARMA OCT FUT,52505,NSE,D,FUTSTK
PRESTIGE OCT FUT,52506,NSE,D,FUTSTK
RBLBANK OCT FUT,52507,NSE,D,FUTSTK
RECLTD OCT FUT,52508,NSE,D,FUTSTK
RELIANCE OCT FUT,52509,NSE,D,FUTSTK
RVNL OCT FUT,52510,NSE,D,FUTSTK
SAIL OCT FUT,52511,NSE,D,FUTSTK
SBICARD OCT FUT,52512,NSE,D,FUTSTK
SBILIFE OCT FUT,52513,NSE,D,FUTSTK
SBIN OCT FUT,52514,NSE,D,FUTSTK
SHREECEM OCT FUT,52515,NSE,D,FUTSTK
SHRIRAMFIN OCT FUT,52516,NSE,D,FUTSTK
SIEMENS OCT FUT,52517,NSE,D,FUTSTK
SOLARINDS OCT FUT,52518,NSE,D,FUTSTK
SONACOMS OCT FUT,52519,NSE,D,FUTSTK
SRF OCT FUT,52520,NSE,D,FUTSTK
SUNPHARMA OCT FUT,52521,NSE,D,FUTSTK
SUPREMEIND OCT FUT,52522,NSE,D,FUTSTK
SUZLON SEP FUT,52524,NSE,D,FUTSTK
SUZLON OCT FUT,52525,NSE,D,FUTSTK
SYNGENE OCT FUT,52526,NSE,D,FUTSTK
TATACONSUM OCT FUT,52527,NSE,D,FUTSTK
TATAELXSI OCT FUT,52531,NSE,D,FUTSTK
TATAMOTORS OCT FUT,52532,NSE,D,FUTSTK
TATAPOWER OCT FUT,52533,NSE,D,FUTSTK
TATASTEEL OCT FUT,52534,NSE,D,FUTSTK
TATATECH OCT FUT,52538,NSE,D,FUTSTK
TCS OCT FUT,52539,NSE,D,FUTSTK
TECHM OCT FUT,52542,NSE,D,FUTSTK
TIINDIA OCT FUT,52543,NSE,D,FUTSTK
TITAGARH OCT FUT,52544,NSE,D,FUTSTK
TITAN OCT FUT,52545,NSE,D,FUTSTK
TORNTPHARM OCT FUT,52548,NSE,D,FUTSTK
TORNTPOWER OCT FUT,52549,NSE,D,FUTSTK
TRENT OCT FUT,52555,NSE,D,FUTSTK
TVSMOTOR OCT FUT,52556,NSE,D,FUTSTK
ULTRACEMCO OCT FUT,52558,NSE,D,FUTSTK
UNIONBANK OCT FUT,52559,NSE,D,FUTSTK
UNITDSPR OCT FUT,52560,NSE,D,FUTSTK
UNOMINDA OCT FUT,52561,NSE,D,FUTSTK
UPL OCT FUT,52562,NSE,D,FUTSTK
VBL OCT FUT,52563,NSE,D,FUTSTK
VEDL OCT FUT,52566,NSE,D,FUTSTK
VOLTAS OCT FUT,52567,NSE,D,FUTSTK
WIPRO OCT FUT,52568,NSE,D,FUTSTK
YESBANK OCT FUT,52569,NSE,D,FUTSTK
